Entreprise,Secteur,Site,Email,Telephone,Canal,Angle,Statut,Source
120°C,Restaurant,https://www.120c.fr,,,Formulaire/site,"Audit mobile, clarté des infos pratiques, contact/réservation",A contacter,OpenStreetMap
À L'Encre bleue,Librairie,https://alencrebleue.fr/,,,Formulaire/site,"Mettre en avant horaires, événements, nouveautés et contact",A contacter,OpenStreetMap
Ô Nem,Restaurant,http://onem.fr/,,,Formulaire/site,"Menu, horaires, photos et contact plus directs sur mobile",A contacter,OpenStreetMap
Épines de paradis,Fleuriste,https://epinesdeparadis.com/,,,Formulaire/site,"Valoriser les créations, demandes de bouquets et contact rapide",A contacter,OpenStreetMap
ALLAN JOSEPH,Vêtements,https://www.allanjoseph.com/fr/,,,Formulaire/site,"Parcours produit, image de marque, conversion et mobile",A contacter,OpenStreetMap
Ashourya,Restaurant,https://ashourya.fr,,,Formulaire/site,"Clarté carte, réservation/contact, affichage mobile",A contacter,OpenStreetMap
Asile 404,Bar / lieu culturel,https://asile404.org/,,,Formulaire/site,"Événements, programmation, accès et contact visibles",A contacter,OpenStreetMap
Atelier Antik Littoral,Boulangerie,https://www.atelier-antik-boulangerie.fr/,,,Formulaire/site,"Produits phares, horaires, adresse et contact rapide",A contacter,OpenStreetMap
Au Falafel,Restaurant,https://www.aufalafel.com/,,,Formulaire/site,"Menu, commande/contact, lisibilité mobile",A contacter,OpenStreetMap
Au Jardin de la Clue,Restaurant,https://restaurantjardindelaclue.fr/,,,Formulaire/site,"Présenter le lieu, l'ambiance, le menu et la réservation",A contacter,OpenStreetMap
Au vélo électrique,Vélo / mobilité,http://www.auveloelectrique.fr/,,,Formulaire/site,"Moderniser la présentation et faciliter les demandes",A contacter,OpenStreetMap
Béret Baguette,Boulangerie,https://beret-baguette.com/,,,Formulaire/site,"Photos, horaires, accès, produits et contact",A contacter,OpenStreetMap
Barbotyne,Café,https://www.barbotyne.fr/,,,Formulaire/site,"Ambiance, carte, horaires et contact sur mobile",A contacter,OpenStreetMap
Beans Marseille Brunch,Restaurant / brunch,https://beansmarseille.com/,,,Formulaire/site,"Ambiance, carte, horaires, réservation/contact",A contacter,OpenStreetMap
"Bières, Paul, Jacques",Bar,http://www.lebierepauljack.com/,,,Formulaire/site,"Programmation, carte, horaires et contact",A contacter,OpenStreetMap
Bien être et petits plats,Café / restauration,https://beepp.fr/,,,Formulaire/site,"Concept, menu, horaires et demandes de contact",A contacter,OpenStreetMap
Bistrot l'Horloge,Restaurant,https://bistrotlhorloge.eatbu.com,,,Formulaire/site,"Présence sur plateforme, possibilité d'un site propriétaire plus clair",A contacter,OpenStreetMap
Brasserie L'Embarcadère,Restaurant / brasserie,http://www.brasserielembarcadere.fr/,,,Formulaire/site,"Carte, horaires, adresse et téléphone visibles rapidement",A contacter,OpenStreetMap
Brasserie O' Parc,Restaurant / brasserie,https://www.brasserieoparc.fr/,,,Formulaire/site,"Contact, réservation et infos pratiques sur mobile",A contacter,OpenStreetMap
Chez Sauveur,Restaurant,https://www.chezsauveur.fr/,,,Formulaire/site,"Menu, histoire du lieu, réservation et contact",A contacter,OpenStreetMap
